Date,ADRO.JK,ANTM.JK,BBCA.JK,BBNI.JK,PTBA.JK
2023-03-24,1063.939453125,1599.560791015625,8071.8759765625,4041.1259765625,2003.820556640625
2023-03-27,1063.939453125,1654.427001953125,7957.54345703125,3988.643798828125,1998.4195556640625
2023-03-28,1099.6688232421875,1683.970458984375,7934.67822265625,3952.634765625,2057.831787109375
2023-03-29,1143.3380126953125,1755.718505859375,8209.8955078125,4029.278564453125,2111.84326171875
2023-03-30,1139.3680419921875,1764.1593017578125,8233.21875,4094.97314453125,2090.23876953125
2023-03-31,1151.27783203125,1764.1593017578125,8163.248046875,4094.97314453125,2155.052490234375
2023-04-03,1167.157470703125,1764.1593017578125,8209.8955078125,4094.97314453125,2182.057861328125
2023-04-04,1210.82666015625,1730.3956298828125,8186.5712890625,4094.97314453125,2214.46484375
2023-04-05,1214.7965087890625,1772.6004638671875,8139.9248046875,4084.024169921875,2198.261474609375
2023-04-06,1198.9168701171875,1772.6004638671875,8163.248046875,4105.92236328125,2176.65673828125
2023-04-10,1187.007080078125,1705.07275390625,8209.8955078125,4084.024169921875,2138.848876953125
2023-04-11,1210.82666015625,1781.0413818359375,8233.21875,4105.92236328125,2149.651123046875
2023-04-12,1175.09716796875,1781.0413818359375,8303.189453125,4094.97314453125,2117.244384765625
2023-04-13,1175.09716796875,1797.92333984375,8326.513671875,4105.92236328125,2149.651123046875
2023-04-14,1159.2176513671875,1781.0413818359375,8396.4833984375,4116.87158203125,2144.25
2023-04-17,1135.3980712890625,1789.482177734375,8419.80859375,4138.77001953125,2133.44775390625
2023-04-18,1190.97705078125,1772.6004638671875,8513.1015625,4149.71875,2182.057861328125
2023-04-26,1230.67626953125,1781.0413818359375,8583.0712890625,4193.515625,2236.0693359375
2023-04-27,1222.7364501953125,1755.718505859375,8536.4248046875,4160.66796875,2230.668212890625
2023-04-28,1242.586181640625,1772.6004638671875,8443.130859375,4127.8203125,2236.0693359375
2023-05-02,1183.037353515625,1738.8365478515625,8443.130859375,4182.56591796875,2084.837646484375
2023-05-03,1167.157470703125,1789.482177734375,8326.513671875,4149.71875,1939.007080078125
2023-05-04,1159.2176513671875,1797.92333984375,8396.4833984375,4073.074951171875,1841.78662109375
2023-05-05,1107.608642578125,1721.95458984375,8396.4833984375,4051.177001953125,1814.7808837890625
2023-05-08,1139.3680419921875,1747.277587890625,8396.4833984375,4007.38037109375,1884.995849609375
2023-05-09,1147.307861328125,1781.0413818359375,8326.513671875,3996.431396484375,1884.995849609375
2023-05-10,1167.157470703125,1772.6004638671875,8326.513671875,4029.278564453125,1884.995849609375
2023-05-11,1111.5784912109375,1721.95458984375,8233.21875,4007.38037109375,1857.989990234375
2023-05-12,1095.6988525390625,1688.1907958984375,8209.8955078125,3941.685302734375,1836.385498046875
